% Model:              单向传输.mph
% Version:            COMSOL 5.4.0.225
% Date:               Jun 26 2019, 01:12
% Dimension:          1
% Nodes:              21
% Expressions:        1
% Description:        全局
% X                       Height
0                         0.07842701914085708
0.05000000000000001       0.07842000069162529
0.10000000000000002       0.07839633066789573
0.15000000000000002       0.07834818207710217
0.20000000000000004       0.07826296248114412
0.25                      0.07812535643417803
0.30000000000000004       0.07792211687580451
0.3500000000000001        0.07764830945969452
0.4000000000000001        0.07731034103268157
0.45                      0.07692296234903988
0.5                       0.07650340682046908
0.55                      0.07606707272645001
0.6000000000000001        0.07562587521790713
0.65                      0.07518827078353424
0.7000000000000002        0.07475990633159461
0.7500000000000001        0.0743443534476891
0.8000000000000002        0.07394373571690896
0.85                      0.07355920983770042
0.9                       0.07319131431975917
0.95                      0.07284021280454521
1                         0.07250585855220544
