% Model:              单向传输.mph
% Version:            COMSOL 5.4.0.225
% Date:               Jun 26 2019, 01:32
% Dimension:          1
% Nodes:              21
% Expressions:        1
% Description:        全局
% X                       Height
0                         0.06852627983103546
0.05000000000000001       0.06856617032301103
0.10000000000000002       0.06867912126798632
0.15000000000000002       0.06884949159314205
0.20000000000000004       0.0690609791511581
0.25                      0.06930154263203199
0.30000000000000004       0.06956430951614842
0.3500000000000001        0.06984680261063789
0.4000000000000001        0.07015014720364171
0.45                      0.07047900948249912
0.5                       0.07084297902751682
0.55                      0.07126163504753669
0.6000000000000001        0.07178477175750975
0.65                      0.07269094403793733
0.7000000000000002        0.07311711003451199
0.7500000000000001        0.07303257595399372
0.8000000000000002        0.07296252728085552
0.85                      0.07290762540199197
0.9                       0.07286823344969612
0.95                      0.07284454545924958
1                         0.07283665411630676
