% Model:              单向传输.mph
% Version:            COMSOL 5.4.0.225
% Date:               Jul 9 2019, 15:33
% Dimension:          1
% Nodes:              21
% Expressions:        1
% Description:        全局
% X                       Height
0                         0.06939453870854152
0.05000000000000001       0.06939766634223665
0.10000000000000002       0.06940884399586573
0.15000000000000002       0.06943418493086741
0.20000000000000004       0.06948648160261627
0.25                      0.06959239532681367
0.30000000000000004       0.06981506336734992
0.3500000000000001        0.07037918581964268
0.4000000000000001        0.06566338385728075
0.45                      0.06329209984240584
0.5                       0.06126965385441132
0.55                      0.059350680676708636
0.6000000000000001        0.05744185363379142
0.65                      0.05548591578981226
0.7000000000000002        0.053426773727210296
0.7500000000000001        0.05117271645729282
0.8000000000000002        0.04846072618934351
0.85                      0.043876406066710984
0.9                       0.04396761702842696
0.95                      0.044022758422332844
1                         0.04404120489889303
