% Model:              单向传输.mph
% Version:            COMSOL 5.4.0.225
% Date:               Jun 26 2019, 01:53
% Dimension:          1
% Nodes:              21
% Expressions:        1
% Description:        全局
% X                       Height
0                         0.06800024624550423
0.05000000000000001       0.06799379322553616
0.10000000000000002       0.06797529678227623
0.15000000000000002       0.06794761271191747
0.20000000000000004       0.06791668478811988
0.25                      0.06789399130468943
0.30000000000000004       0.067903470733208
0.3500000000000001        0.06519870967169955
0.4000000000000001        0.06312548275462779
0.45                      0.06140713261113628
0.5                       0.05977628091273127
0.55                      0.05815277863606794
0.6000000000000001        0.056497904529733536
0.65                      0.05478605583342915
0.7000000000000002        0.052992918676895755
0.7500000000000001        0.05108321285908685
0.8000000000000002        0.04897960353340745
0.85                      0.046394440663512754
0.9                       0.04310443686594769
0.95                      0.04316362437576263
1                         0.04318337454707041
